,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,17.149237712224323,0.10622384566940272,1.1293152173360188,0.020528929516911633,1400,2,2,sqrt,90,False,"{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': False}",-12.473172812025133,-12.632480831232007,-12.487790515197027,-12.531148052818056,0.07190117429418247,1
42,14.425991217295328,0.07042943884091776,0.895813783009847,0.02989818779842292,1200,2,2,sqrt,30,False,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-12.474144740476161,-12.635362158500765,-12.488428673224693,-12.532645190733874,0.0728655807365394,2
31,16.263190587361652,0.05758908525914363,1.035423994064331,0.015713379104376576,1400,5,2,sqrt,50,False,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.489343790300488,-12.625896684004307,-12.485421250650448,-12.533553908318416,0.06531583649395596,3
49,16.342403093973797,0.10965454309390982,1.0304487546284993,0.03885125366652023,1400,5,2,sqrt,30,False,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-12.488951660143208,-12.626012479948358,-12.488172484967173,-12.534378875019579,0.06479552424188628,4
27,21.171600103378296,0.06194784036523362,1.3416682879130046,0.07411698492397738,1800,5,2,sqrt,110,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': False}",-12.490897553207386,-12.63044126711567,-12.48538332836733,-12.53557404956346,0.06711901565363856,5
11,22.66667977968852,0.8682193914121972,0.4720025857289632,0.024388142790692468,600,2,2,auto,50,True,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': True}",-12.461066874508035,-12.62539961383596,-12.527045656007688,-12.53783738145056,0.0675211488215887,6
1,20.75681201616923,0.2726738780049013,0.40848247210184735,0.0019798632751872776,600,5,2,auto,100,True,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",-12.461087406889284,-12.632779830317272,-12.524425681925466,-12.539430973044007,0.07089165976713108,7
64,50.272614320119224,0.37725979757986944,1.0303347905476887,0.00889677899788346,1400,2,2,auto,100,True,"{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",-12.456200596043596,-12.62771789338893,-12.539703842049486,-12.541207443827338,0.07002971481636293,8
78,14.372771978378296,0.1194508193918589,0.2952730655670166,0.005789446405495878,400,2,2,auto,70,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",-12.465495143061226,-12.634747454707972,-12.52742881592048,-12.542557137896559,0.06992012511335459,9
15,7.231080770492554,0.0901490580724665,0.15205828348795572,0.001289390311435904,200,2,2,auto,70,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",-12.451996098623317,-12.63632711832535,-12.540306801336829,-12.54287667276183,0.07527476064593203,10
